Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
421,F30-34,32,F,Hudson,NH,7:25,07:10.9,7:11,3:21,1:58,1 mile,1/1/2019
422,M45-49,45,M,Manchester,NH,7:29,07:11.0,7:11,3:21,2:43,1 mile,1/1/2019
423,M13-19,18,M,Townsend,MA,7:27,07:11.1,7:12,3:22,3:06,1 mile,1/1/2019
424,M65-69,69,M,Loudon,NH,7:21,07:11.2,7:12,3:22,1:33,1 mile,1/1/2019
425,M10,10,M,Nashua,NH,7:31,07:11.5,7:12,3:22,1:15,1 mile,1/1/2019
426,F45-49,46,F,Manchester,NH,7:35,07:11.6,7:12,3:22,0:38,1 mile,1/1/2019
427,F45-49,47,F,Nashua,NH,7:31,07:11.7,7:12,3:22,0:38,1 mile,1/1/2019
428,F25-29,28,F,Peterborough,NH,7:22,07:11.8,7:12,3:22,2:08,1 mile,1/1/2019
429,F13-19,13,F,Bristol,NH,7:31,07:12.7,7:13,3:23,2:09,1 mile,1/1/2019
430,F35-39,37,F,Nashua,NH,7:26,07:12.9,7:13,3:23,1:50,1 mile,1/1/2019
431,F40-44,42,F,Manchester,NH,7:29,07:13.5,7:14,3:24,1:27,1 mile,1/1/2019
432,F40-44,42,F,Manchester,NH,7:26,07:13.7,7:14,3:24,1:27,1 mile,1/1/2019
433,F25-29,27,F,Manchester,NH,8:05,07:13.7,7:14,3:24,2:10,1 mile,1/1/2019
434,M65-69,66,M,Windham,NH,7:23,07:13.8,7:14,3:24,1:35,1 mile,1/1/2019
435,F60-64,60,F,Harvard,MA,7:33,07:13.8,7:14,3:24,Winner,1 mile,1/1/2019
436,F30-34,31,F,Reading,MA,7:32,07:14.5,7:15,3:25,2:02,1 mile,1/1/2019
437,F13-19,15,F,Windham,NH,7:31,07:14.6,7:15,3:25,2:11,1 mile,1/1/2019
438,F20-24,24,F,Tewskbury,MA,7:38,07:14.7,7:15,3:25,1:58,1 mile,1/1/2019
439,F60-64,63,F,Manchester,NH,7:22,07:14.7,7:15,3:25,0:01,1 mile,1/1/2019
440,F35-39,38,F,Bedford,NH,7:36,07:15.0,7:15,3:25,1:52,1 mile,1/1/2019
441,F40-44,43,F,Raymond,NH,7:30,07:15.1,7:16,3:26,1:29,1 mile,1/1/2019
442,F9,9,F,Hill,NH,7:33,07:15.4,7:16,3:26,0:39,1 mile,1/1/2019
443,F30-34,34,F,Merrimack,NH,7:26,07:15.8,7:16,3:26,2:03,1 mile,1/1/2019
444,F30-34,30,F,Epping,NH,7:28,07:15.9,7:16,3:26,2:03,1 mile,1/1/2019
445,F45-49,48,F,Bedford,NH,7:42,07:16.1,7:17,3:27,0:43,1 mile,1/1/2019
446,F35-39,37,F,Nashua,NH,7:39,07:16.4,7:17,3:27,1:54,1 mile,1/1/2019
447,F40-44,44,F,Derry,NH,7:21,07:16.7,7:17,3:27,1:30,1 mile,1/1/2019
448,F25-29,26,F,Goffstown,NH,7:48,07:16.8,7:17,3:27,2:13,1 mile,1/1/2019
449,F12,12,F,Derry,NH,7:30,07:17.2,7:18,3:28,1:17,1 mile,1/1/2019
450,F45-49,48,F,Andover,NH,7:38,07:18.1,7:19,3:29,0:45,1 mile,1/1/2019
451,M60-64,62,M,Londonderry,NH,7:40,07:18.1,7:19,3:29,1:43,1 mile,1/1/2019
452,M50-54,50,M,Allenstown,NH,7:43,07:18.1,7:19,3:29,2:45,1 mile,1/1/2019
453,M40-44,42,M,Windham,NH,7:40,07:18.5,7:19,3:29,3:04,1 mile,1/1/2019
454,M12,12,M,Nashua,NH,7:30,07:18.5,7:19,3:29,1:56,1 mile,1/1/2019
455,M45-49,45,M,Manchester,NH,7:45,07:18.7,7:19,3:29,2:51,1 mile,1/1/2019
456,F25-29,29,F,Londonderry,NH,7:45,07:18.9,7:19,3:29,2:15,1 mile,1/1/2019
457,F60-64,60,F,Manchester,NH,7:23,07:18.9,7:19,3:29,0:05,1 mile,1/1/2019
458,F55-59,57,F,Auburn,NH,7:42,07:19.0,7:19,3:29,1:24,1 mile,1/1/2019
